id_groupe;groupe;id_theme;Nom_theme;Objectif;vision_strategique;explication_role;aide à la décision
1;Robustesse et résilience technique;1;Enjeux AEP;Évaluer la capacité du système AEP à assurer la continuité du service (production, stockage, interconnexion);Comprendre;Guide la mise en conformité légale et les actions de protection réglementaire.;Identifier les besoins de sécurisation et de renforcement des infrastructures
2;Poids stratégique de la desserte;1;Enjeux AEP;Identifier les ressources dont la défaillance impacterait le plus grand nombre d'habitants ou le plus important linéaire d'infrastructures de distribution.;Agir;Définit les priorités d'investissement et l'importance socio-économique de la ressource.;Définit les priorités d'investissement et l'importance socio-économique de la ressource.
3;Sécurisation sanitaire et réglementaire;1;Enjeux AEP;Évaluer le niveau de conformité réglementaire et de protection sanitaire des captages;Agir;Mesurer le niveau de conformité administrative (AODPE) et de protection physique (PPE/Traitement) afin d'identifier les risques d'exposition aux pollutions;Prioriser les mises en conformité et les actions de protection
4;Vulnérabilité technique;5;Vulnérabilité Intrinsèque;Différencier les ressources selon leur nature (ouvrage) et leur usage actuel pour affiner la comparaison entre les points d'eau.;Comprendre;Caractérise la sensibilité propre de l'ouvrage (ex: forage vs captage superficiel).;Affiner la comparaison des captages et adapter les stratégies de gestion
5;Valeur patrimoniale et réglementaire;2;Enjeux Environnementaux;Repérer les bassins versants inscrits dans des périmètres de reconnaissance mondiale ou locale (UNESCO, aires protégées) nécessitant une gestion exemplaire.;Surveiller;Assure le suivi des engagements de conservation et des contraintes réglementaires associées.;Assure le suivi des engagements de conservation et des contraintes réglementaires associées.
6;Richesse biologique et rareté;2;Enjeux Environnementaux;Localiser les zones de biodiversité critique (KBA, espèces menacées) qui dépendent du maintien de la qualité de la ressource en eau.;Surveiller;Surveille l'état des écosystèmes sensibles dépendants de la ressource en eau.;Surveille l'état des écosystèmes sensibles dépendants de la ressource en eau.
7;État écologique et rôle protecteur;2;Enjeux Environnementaux;Qualifier l'intégrité de la couverture végétale naturelle agissant comme un filtre et un régulateur naturel contre le ruissellement.;Comprendre;Mesure la capacité naturelle du milieu à protéger la ressource par filtration.;Mesure la capacité naturelle du milieu à protéger la ressource par filtration.
8;Perturbations majeures du milieu (Aléa);3;MENACES NATURELLES;Identifier les bassins dont l'équilibre écologique a été rompu par des événements destructeurs comme les incendies.;Surveiller;Permet une réaction rapide face aux chocs brutaux impactant le bassin versant.;Permet une réaction rapide face aux chocs brutaux impactant le bassin versant.
9;Fragilité des sols et transferts (chronique);3;MENACES NATURELLES;Détecter les zones de sols nus ou instables qui favorisent le transport de sédiments et de polluants vers les points de captage.;Surveiller;Assure la surveillance de la dégradation structurelle et lente des sols.;Assure la surveillance de la dégradation structurelle et lente des sols.
10;Activités à risque;4;MENACES ANTHROPIQUES;Recenser les implantations industrielles (ICPE) ou minières pouvant générer des pollutions accidentelles ou chroniques.;Agir;Oriente les contrôles de la police de l'eau et la surveillance des sites industriels.;Oriente les contrôles de la police de l'eau et la surveillance des sites industriels.
11;Niveau d'artificialisation et densité;4;MENACES ANTHROPIQUES;Quantifier l'emprise du bâti et de l'habitat pour évaluer la pression directe exercée par l'occupation humaine sur le milieu.;Surveiller;Suit l'évolution de l'empreinte humaine et de l'imperméabilisation des sols.;Suit l'évolution de l'empreinte humaine et de l'imperméabilisation des sols.
12;Infrastructures et risques de dégradation des eaux ;4;MENACES ANTHROPIQUES;Identifier les points de contact entre les réseaux de transport et le milieu hydrographique pour localiser les zones à risque de pollution (ruissellement routier, accidents) et de dégradation de la qualité des cours d'eau (sédimentation, modification des écoulements);Surveiller;Cible les points de vigilance pour prévenir les pollutions liées au ruissellement routier.;Cible les points de vigilance pour prévenir les pollutions liées au ruissellement routier.
13;Tension des usages;6;Pressions Quantitatives;Identifier les situations de déséquilibre entre prélèvements et ressource disponible;Agir;Relève du pilotage : déclenche les restrictions ou les limitations de nouvelles autorisations.;Déclencher des restrictions ou limiter les nouvelles autorisations
14;Apports naturels;7;Pressions Quantitatives;Suivre les conditions hydrologiques influençant la disponibilité de la ressource;Surveiller;Relève de la veille : observation du contexte climatique pour la gestion de crise.;Anticiper les situations de crise (sécheresse)
15;Sensibilité naturelle;5;Vulnérabilité Intrinsèque;Qualifier la propension naturelle du terrain à laisser circuler les polluants vers les eaux souterraines ou superficielles selon ses propriétés géologiques.;Comprendre;Définit le socle physique immuable qui module (amplifie ou réduit) l'impact des pressions.;
16;État sanitaire et suivi de la qualité;7;Pressions Qualitatives;Identifier les captages présentant une dégradation de la qualité de l’eau;Agir;Sert de diagnostic de confirmation pour valider l'impact réel des pressions sur la ressource.;Prioriser les actions correctives et confirmer l’impact des pressions
17;Importance captage;1;Enjeux AEP;Évaluer la capacité du système AEP à assurer la continuité du service (production, stockage, interconnexion);;;
18;Niveau infrastructures;1;Enjeux AEP;Identifier les ressources dont la défaillance impacterait le plus grand nombre d'habitants ou le plus important linéaire d'infrastructures de distribution.;;;
19;Vulnérabilité structurelle;1;Enjeux AEP;Différencier les ressources selon leur nature (ouvrage) et leur usage actuel pour affiner la comparaison entre les points d'eau.;;;
20;Sécurité sanitaire et règlementaire;1;Enjeux AEP;Évaluer le niveau de conformité réglementaire et de protection sanitaire des captages;;;
21;Zone naturelle;2;Enjeux Environnementaux;Repérer les bassins versants inscrits dans des périmètres de reconnaissance mondiale ou locale (UNESCO, aires protégées) nécessitant une gestion exemplaire.;;;
22;Zones protégés ;2;Enjeux Environnementaux;Permettre aux gestionnaire de solliciter des fonds pour la restauration de zone à haute valeur environnementales reconnues et réglementés;;;
23;Activités à risque ;4;MENACES ANTHROPIQUES;Recenser les implantations industrielles (ICPE) ou minières pouvant générer des pollutions accidentelles ou chroniques.;;;
24;Infrastructures et usages;4;MENACES ANTHROPIQUES;Identifier les points de contact entre les réseaux de transport et le milieu hydrographique pour localiser les zones à risque de pollution (ruissellement routier, accidents) et de dégradation de la qualité des cours d'eau (sédimentation, modification des écoulements);;;
25;Perturbations environnementales ;3;MENACES NATURELLES;Identifier les bassins dont l'équilibre écologique a été rompu par des événements destructeurs comme les incendies.;;;
26;Sensibilité naturelle;3;MENACES NATURELLES;Qualifier la propension naturelle du terrain à laisser circuler les polluants vers les eaux souterraines ou superficielles selon ses propriétés géologiques.;;;
